"","Colesterolo","Proteine.Totali","seg10BTVPCRcopiesper1ml_new","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","BTM:translation.initiation.factor.3.complex..M245.","BTM:heme.biosynthesis..I...M171.","lung_pos_cells","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:DC.surface.signature..S5.","BTM:phosphatidylinositol.signaling.system..M101.","BTM:TBA..M72.0.","BTM:combine( KLF12.targets.network..M32.3. CORO1A.DEF6.network..II...M32.4. )","BTM:putative.targets.of.PAX3..M89.0.","BTM:TBA..M72.1.","BTM:activated.dendritic.cells..M67.","BTM:cell.cycle..III...M103.","IFN_y","BTM:TBA..M203.","BTM:enriched.in.membrane.proteins..M124.","BTM:integrin.mediated.leukocyte.migration..M39.","IP.10","BTM:complement.activation..I...M112.0.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:cell.cycle..ATP.binding..M144.","BTM:combine( extracellular.matrix..I...M2.0. extracellular.matrix..III...M2.2. )","BTM:Naive.B.cell.surface.signature..S8.","BTM:TBA..M186.","BTM:transcription.regulation.in.cell.development..M49.","BTM:E2F1.targets..Q3...M10.0.","BTM:combine( innate.activation.by.cytosolic.D..sensing..M13. chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0. )","Glucosio","BTM:combine( T.cell.activation.and.signaling..M5.1. T.cell.activation..IV...M52. cell.adhesion..GO...M117. )","BTM:extracellular.matrix..II...M2.1.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:TBA..M148.","BTM:platelet.activation...actin.binding..M196.","BTM:TBA..M242.","BTM:combine( TBA..M137. TBA..M180. )","BTM:TBA..M205.","BTM:nuclear.pore.complex..M106.0.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","percentpositivenucleiFOXP3cortexnofollicles","BTM:combine( CORO1A.DEF6.network..I...M32.2. TBA..M32.7. TBA..M32.5. )","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:B.cell.surface.signature..S2.","BTM:TBA..M161.","BTM:TBA..M248.","BTM:cell.division.in.stimulated.CD4.T.cells..M4.6.","BTM:enriched.in.B.cells..V...M47.4."
"SLC-39",20,5.8,0,0.00012334002643466,0.000575776981002862,9.32620601834522e-05,0.0811,0.000130872300008855,2.75002108627298e-05,0.000250929333284411,0.000461915638550581,0.000115674700099877,2.66529374437496e-06,0.000707762319121175,0.000543013469751275,7.28351994470078e-05,0.56,7.59559962264511e-05,0.000160478836641609,5.46368919325246e-05,256.74,4.38271105225319e-05,0.000159011336561266,5.46354786792325e-05,0.000195677889541335,7.63930495553122e-05,3.09158406741616e-05,8.92782614527743e-05,7.6643157652434e-05,0.000148484109047331,0.000135564899971241,51,0.000231986102195769,8.72803178582071e-05,0.000112888459774751,6.44469899881983e-05,2.1321854293932e-05,0.000271837588043722,0.000222341858263198,0.000151902258328285,4.22886472821737e-05,8.52888921420991e-06,7.29,0.000130478470436346,2.163536369304e-05,4.28577094913063e-05,7.41773760482012e-05,3.02054462173462e-05,2.6947446962744e-05,5.68567524252828e-05
"SLC-40",25,6.3,0,0.000210583482149529,0.000632287449493285,4.51470031959111e-05,0.0452,0.000163216987305814,3.3941806770077e-05,0.000250558893548192,0.000526861948052959,0.000144387186889805,2.89438800749053e-06,0.000792558456617298,0.000489684847632565,6.8379272366581e-05,1.45,4.97812571134126e-05,0.000140447687387413,2.51809830806859e-05,411.14,9.72363530509224e-05,0.000125824546094,5.00706501178616e-05,0.000194181807965599,0.000115742218832704,3.10838751591547e-05,8.76955282913539e-05,0.000108370124523693,0.000199717478966965,0.000235373003082184,47,0.000242885890775701,9.33282914934441e-05,0.000118391102980064,4.16772900750928e-05,6.94648926402586e-06,0.000278760175826731,0.000203541305737076,0.000100371384393894,4.05204461282338e-05,1.9449628614554e-05,6.54,0.000142643052436719,5.12763200395394e-05,4.42950791172958e-05,7.32202035997886e-05,3.06786134658399e-05,2.60478711109347e-05,5.09389395073612e-05
"SLC-41",23,6.2,0,0.000149516668477512,0.000699930355042122,2.06347746818381e-05,0.0589,0.000116836209069326,3.5711994222698e-05,0.000255704510438992,0.000457372614836915,0.000112902882460242,7.13344795877369e-06,0.000759426504841398,0.000731542007377239,6.81846275183418e-05,2.82,6.47061180272246e-05,0.00014058962412955,2.36930628603194e-05,377.37,6.65727815505335e-05,0.000121272296908392,6.06282734836316e-05,0.000183815620646843,0.000118179186098688,2.96540478226248e-05,7.4897022044329e-05,8.28486433248621e-05,0.000173572240484532,0.000184968106214267,44,0.000226581231358436,7.64159346404725e-05,0.000155615788495211,4.66881109317807e-05,8.83182958055784e-06,0.000288991755169166,0.00017726619487779,0.000110051493285468,4.15767037642567e-05,1.34514212526415e-05,9.54,0.000142659879726725,2.26583014435455e-05,6.66213037703312e-05,7.48943846182737e-05,4.17795697151835e-05,2.51352803788407e-05,8.89878041803183e-05
"SLC-42",24,6.2,0,0.000137364098650172,0.000689437211679467,3.20940869291686e-05,0.0477,0.000117162149377625,2.77192735747001e-05,0.000204763823142828,0.000412921529033161,0.000118640322233965,3.05686066526256e-06,0.00069977149509759,0.000616046358198785,6.30056419785863e-05,1.94,6.64837264119367e-05,0.000145672032348498,2.40725681561749e-05,344.24,6.01109781823705e-05,0.000145192838513664,6.41855685903359e-05,0.000160461029912407,0.000100853086696384,3.34712328708964e-05,0.000100867103835833,7.14594402682067e-05,0.000139359999340893,0.000169023312023953,59,0.000238940067640137,7.27811952516699e-05,0.000160047402276708,3.25119677662133e-05,1.1208310530586e-05,0.000214236226664832,0.000155022342180233,9.26167168109338e-05,4.34064919323518e-05,1.8340698663355e-05,8.48,0.000159480954830649,3.34426780979058e-05,6.92331971245963e-05,5.9604869709462e-05,3.97360493529231e-05,2.90372649196513e-05,9.98462127590471e-05
"SMI6-127",57,5.9,1546600000,0.000367911798262455,0.000590654019043457,2.67609962056881e-06,0.0405,0.000198148346487015,6.07925463418368e-05,0.000229501723704839,0.000384861230037004,5.07887358029979e-05,1.18937672488606e-06,0.000716047112129248,0.00121973521424956,5.70836234610184e-05,15,8.20615036469796e-05,6.50125217371844e-05,3.47883323323916e-05,3992.85,1.82367842833653e-05,0.000187469802044316,5.41150389206102e-05,0.000181948365688855,4.75698838897642e-05,2.35492196842824e-05,0.000107031278445469,6.7174171412443e-05,0.000140266712086889,0.000239646126780402,115,0.000169070238405844,6.11007862127977e-05,7.00617509519219e-05,8.0439259461329e-05,1.98222304628182e-05,0.000300966498933075,0.000163131817645157,0.000173390215536307,5.56609621018556e-05,4.28175264510777e-06,3.1,8.45932257733661e-05,3.52599927386787e-05,4.951224866101e-05,0.000114760146431969,3.211068920983e-05,1.62546179900414e-05,7.69082964537926e-05
"SMI8-298",83,7,0,0.00025143493107227,0.000672305549465735,0,0.02794575,0.000171448279512765,2.36129421986586e-05,0.000270207112785581,0.000472888247516901,8.38068768203026e-05,2.47387587082315e-06,0.000798400934715282,0.000851212084217456,6.6021969756358e-05,4.59,0.00010141852827017,9.56326468875002e-05,5.00947282648934e-05,1376.91,1.97901196359318e-05,0.00017003889709688,5.50414948969902e-05,0.000183394101789025,3.8342037021355e-05,3.07988441663465e-05,9.46152149201573e-05,5.96244199344564e-05,0.000159131007700042,0.000136411254368696,49,0.00017376651271972,4.7774780746801e-05,7.82594815937898e-05,8.43255868856474e-05,1.89658037075269e-05,0.000279963791523175,0.000182785351429349,0.000126900864770851,5.09604494132176e-05,5.93727932374222e-06,6.49,9.77302488609499e-05,1.83354355860477e-05,5.75484351814648e-05,8.96707266788699e-05,2.47377856943398e-05,1.89660087128729e-05,6.18438004411637e-05
"SMI8-297",108,6.8,4712000,0.000266261004010504,0.0006334664735137,6.40344454128083e-07,0.0300315,0.000178096832010199,3.00360246749953e-05,0.000268870523884024,0.000500469350760424,8.88754102870148e-05,2.56137590293193e-06,0.000831311528226575,0.00065369374650226,7.14416889817659e-05,0.57,8.66522128741831e-05,5.12212548189339e-05,5.44272491787012e-05,851.63,2.50438011359932e-05,0.000205662035570819,4.82372530339337e-05,0.000188407661660506,2.56125497837267e-05,3.5345592286351e-05,0.000101162231416874,4.76915298670555e-05,0.000168241870297292,0.000174921078024193,81,0.000225250898773899,3.96993632005849e-05,5.58822382517032e-05,8.24218577175628e-05,9.67616164082585e-06,0.000295212695251124,0.000203431895413386,0.000124474089680415,4.50793583484099e-05,2.04909844780943e-06,6.84,0.000107105989907152,2.22984340918497e-05,4.30701573621572e-05,7.896953363562e-05,3.07346827890242e-05,2.04904678440254e-05,5.80539312244888e-05
"SMI8-296",124,7.1,0,0.000303508591030122,0.000531715080670736,9.5697122426408e-07,0.01923375,0.000204906417246464,4.40146358102744e-05,0.000306143873765041,0.000435428849044239,8.19493727772791e-05,3.8278806238079e-06,0.000828703458777946,0.000700449836852135,6.45711300477636e-05,2.55,9.44162356009137e-05,7.14437976736537e-05,4.78461594348722e-05,508.3,3.74253351416165e-05,0.000190410782984651,5.80547518576058e-05,0.00020776194860761,4.59301723794159e-05,3.44496626982771e-05,0.000110993000332238,7.57585490929191e-05,0.000156186342172404,0.000227333976782429,99,0.000208524095992146,7.51153830673701e-05,8.49034849605967e-05,7.86409543922506e-05,1.36099462844097e-05,0.000311062215776703,0.000198658506442184,0.000155396458372703,4.89957631764071e-05,9.18684433792727e-06,5.54,0.000106930387838267,2.16157043195775e-05,5.73349626036279e-05,9.82383411463061e-05,2.93452778026282e-05,2.04145624052021e-05,8.42057541525776e-05
"SMI8-294",93,7,0,0.000252387663984388,0.0006633137100438,2.94629348918107e-06,0.058401775,0.000189796395974051,2.7587098225812e-05,0.000264117239482164,0.000484686391121203,7.97119366344745e-05,3.92839324780958e-06,0.000878309400339061,0.000830428067262634,7.19084710354423e-05,1.09,9.72209041321115e-05,5.63010229670535e-05,5.45049876115034e-05,749.43,2.74975800009791e-05,0.000201687765205349,7.07060680205096e-05,0.000198631588935072,3.5352553467094e-05,3.71215922814194e-05,0.000106054745232953,5.68901384390141e-05,0.000155063079029238,0.000166858424703875,27,0.000217268933942139,5.37665441651125e-05,8.2489929485785e-05,6.53481947452406e-05,9.16595085476146e-06,0.000264599086754913,0.000208840595265603,0.000172048329939667,5.10676956593237e-05,1.41420101418266e-05,3.67,0.000119832535468101,1.80238660194565e-05,5.02635108174943e-05,6.97243192375741e-05,3.53533172399167e-05,1.96414493001118e-05,7.20167299910202e-05
"SMI8-293",139,7.7,124340000,0.000271254513622976,0.000545471910387896,1.25584675148005e-06,0.0254304,0.000229805589035958,6.95998665469766e-05,0.000303827275938584,0.000472966156165544,6.44093334576379e-05,3.34892817566157e-06,0.000845554779852487,0.00110704341243606,6.64521189956968e-05,1.79,9.6271576554674e-05,6.02741253219463e-05,5.02318326724982e-05,8500,1.00466499479701e-05,0.000189187477234176,4.26976809144719e-05,0.000223139859388599,2.51157039057315e-05,3.36540894900761e-05,8.79004911125136e-05,5.81976795828165e-05,0.000177334725124823,0.00021243371650348,68,0.000174976125668413,6.34148521270195e-05,7.67165853163831e-05,0.000100457806794019,1.33954547627546e-05,0.000357053707562338,0.000202244611163582,0.000175799175151869,5.55890441789053e-05,4.01869496924334e-06,4.08,0.000102161659796485,2.65933910081895e-05,5.0434400250543e-05,0.000113846608101875,2.17673084002001e-05,2.56746904789829e-05,9.15276698234546e-05
