"","Colesterolo","Proteine.Totali","seg10BTVPCRcopiesper1ml_new","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","BTM:translation.initiation.factor.3.complex..M245.","BTM:heme.biosynthesis..I...M171.","lung_pos_cells","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:DC.surface.signature..S5.","BTM:phosphatidylinositol.signaling.system..M101.","BTM:TBA..M72.0.","BTM:combine( KLF12.targets.network..M32.3. CORO1A.DEF6.network..II...M32.4. )","BTM:putative.targets.of.PAX3..M89.0.","BTM:TBA..M72.1.","BTM:activated.dendritic.cells..M67.","BTM:cell.cycle..III...M103.","IFN_y","BTM:TBA..M203.","BTM:enriched.in.membrane.proteins..M124.","BTM:integrin.mediated.leukocyte.migration..M39.","IP.10","BTM:complement.activation..I...M112.0.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:cell.cycle..ATP.binding..M144.","BTM:combine( extracellular.matrix..I...M2.0. extracellular.matrix..III...M2.2. )","BTM:Naive.B.cell.surface.signature..S8.","BTM:TBA..M186.","BTM:transcription.regulation.in.cell.development..M49.","BTM:E2F1.targets..Q3...M10.0.","BTM:combine( innate.activation.by.cytosolic.D..sensing..M13. chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0. )","Glucosio","BTM:combine( T.cell.activation.and.signaling..M5.1. T.cell.activation..IV...M52. cell.adhesion..GO...M117. )","BTM:extracellular.matrix..II...M2.1.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:TBA..M148.","BTM:platelet.activation...actin.binding..M196.","BTM:TBA..M242.","BTM:combine( TBA..M137. TBA..M180. )","BTM:TBA..M205.","BTM:nuclear.pore.complex..M106.0.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","percentpositivenucleiFOXP3cortexnofollicles","BTM:combine( CORO1A.DEF6.network..I...M32.2. TBA..M32.7. TBA..M32.5. )","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:B.cell.surface.signature..S2.","BTM:TBA..M161.","BTM:TBA..M248.","BTM:cell.division.in.stimulated.CD4.T.cells..M4.6.","BTM:enriched.in.B.cells..V...M47.4."
"SMI8-292",134,9.8,81420000,0.000246902310327757,0.000526364127090506,0,0.010646645,0.000237223731255787,8.20998427328856e-05,0.000296947242299783,0.000504628704699028,8.1025903956089e-05,0,0.000822353035676349,0.000760742609242193,6.64267038388289e-05,5.12,8.32046345309312e-05,6.74009874956916e-05,6.16114661260436e-05,2133.89,2.10648536491664e-05,0.000189002356884238,6.21365247666095e-05,0.000198582970856842,5.47636789958172e-05,3.09650111225412e-05,8.53057267140578e-05,6.23203230096792e-05,0.000183092495100068,0.000223765904966866,60,0.000212283905455468,8.37288789918844e-05,7.23840448835222e-05,6.66402223714613e-05,1.12347025980064e-05,0.00032397696647779,0.000201580855739403,0.000170610637074686,5.39260410779008e-05,5.05568840813986e-06,7.74,0.000126338238098489,3.1968321865028e-05,4.69422249675944e-05,9.05716881511864e-05,2.31707972486728e-05,1.89586571488487e-05,4.91507789843748e-05
"SMI6-130",68,6.2,36420000,0.000193980988156595,0.000808899372417127,0,0.182042825,0.000161341301954998,5.88767424367642e-05,0.000237690581465833,0.000347363717122517,6.39233637280689e-05,3.48336778976943e-06,0.000679848737599853,0.000782482312603028,6.00154880081583e-05,25.69,7.48888756048061e-05,9.05544256686319e-05,4.44101766539085e-05,2145.07,3.13482900951012e-05,0.000127462046128457,5.66031042741333e-05,0.000173898217154633,3.83147829976505e-05,2.1422267971305e-05,0.000125384782232896,6.84619767925554e-05,0.000121435574443218,0.000100980104430493,56,0.000144024315249514,8.6205624892699e-05,5.03480199018913e-05,6.36473875981203e-05,1.85775678933631e-05,0.000275464010584203,0.000157674681456887,0.000149425781035939,4.04064146037886e-05,4.18004280389184e-06,3.08,9.52164093990238e-05,2.64311417617069e-05,4.41424118837741e-05,8.53331663559498e-05,2.2641024643999e-05,1.91584212294593e-05,4.29603032534587e-05
"SMI8-295",79,7.1,0,0.000366773775009044,0.000482064317305131,3.1645753220122e-06,0.016942225,0.000319588716664709,4.12298292877811e-05,0.000271386731541812,0.000490007708052298,8.08992916683238e-05,1.40647668445126e-06,0.000835126797137153,0.000791137997108171,6.66351816374089e-05,0.57,8.36800886045985e-05,8.624819873293e-05,4.85225058173278e-05,530.14,2.34408400496822e-05,0.000201102662124697,6.04764502962762e-05,0.000198883446903331,6.60937146970131e-05,2.61595724289077e-05,9.49262359484226e-05,9.8343585651417e-05,0.000149689706093081,0.000317545866367119,93,0.000250451964633358,9.96741188208361e-05,8.59176626393232e-05,7.67132413501681e-05,1.0313978829668e-05,0.00032293688865348,0.000195568854021833,0.000183105811291773,5.2318970017895e-05,6.75106339831366e-06,7.2,0.000110395526049523,5.80735926762888e-05,5.01111079960204e-05,0.000116015194445485,2.39089484752597e-05,2.53154825751167e-05,9.28159772828341e-05
"SMI6-135",92,5.6,4.048e+09,0.000384725094478844,0.000445141679150662,2.32816132306191e-06,0.082,0.000215153890660513,6.93847431580963e-05,0.000269235900116405,0.000383973931161519,6.29900339945699e-05,3.10423075600141e-06,0.000716969160717396,0.0016745013401418,3.91580889491649e-05,5.12,9.38984054006387e-05,8.27715313898025e-05,3.60846544416038e-05,3385.4,2.06939841762566e-05,0.000154164986426064,3.49215400439196e-05,0.000169596519703052,7.9143191964226e-05,2.18845033195247e-05,8.3803955351236e-05,8.73356232187206e-05,0.000124487189860023,0.00025998786457837,90,0.000166147928456262,7.97310604192525e-05,7.53428035367154e-05,7.87312506542737e-05,1.03472613373068e-05,0.000432449101958055,0.000177756466189338,0.000189025093914941,4.65620738479e-05,1.11750156477353e-05,2.96,9.12459276949384e-05,4.32732796609159e-05,5.13093086917937e-05,0.00013500383559828,3.2592692207345e-05,1.24166002282156e-05,7.13918926722457e-05
"SMI6-134",56,5.9,474800000,0.000421487338371662,0.00060649969198634,8.3087187541242e-06,0.101,0.000231826135411284,5.677173973484e-05,0.000241458652541215,0.00031630692011686,5.86430965043849e-05,6.64694002616706e-06,0.000667322943874282,0.00140731316156728,4.46503314766034e-05,0.36,7.20063001593552e-05,0.000101904617741289,3.65575534777562e-05,2145.39,2.80639083474199e-05,0.000173294111525557,2.5479067315537e-05,0.000168050388540175,5.98139791510022e-05,2.12698570078995e-05,0.000112986466423326,6.46309087877217e-05,0.000108514436107265,0.000231754820028574,100,0.00013713203766641,9.05547116460959e-05,7.25073283516231e-05,6.16325709865695e-05,1.92015736064644e-05,0.000303290609543039,0.000156485786859895,0.000135586493440476,4.4311384412854e-05,7.9763333331595e-06,3.66,8.12706846726741e-05,3.51873159116778e-05,5.34403173004794e-05,9.5262034961463e-05,3.54483343061318e-05,1.03395432187181e-05,6.94195442669798e-05
"SMI6-128",106,5.9,3.728e+09,0.000342152893591852,0.000771443105414882,0,0.0325,0.000235128407375162,4.14237595456335e-05,0.000230306728417951,0.00038095576974051,4.98134012079099e-05,3.92090745493512e-06,0.000801034389041666,0.00175860730546495,4.55379470500894e-05,10.21,7.3512010178467e-05,6.53395364580422e-05,3.23455424739993e-05,8500,2.35250450382196e-05,0.000152847539964363,3.33270965551247e-05,0.000162973085644724,4.90055311075377e-05,3.58752853757416e-05,8.23292116896024e-05,5.84020405225427e-05,0.000131267007604574,0.000181567900935375,66,0.0001035736687236,6.17491091547961e-05,8.34006048757718e-05,6.84335138814163e-05,1.17626301259222e-05,0.000320729606536396,0.000156098033048169,0.000130557663456932,3.52875860258894e-05,4.70509079075754e-06,2.77,7.62749951068731e-05,3.18266026078096e-05,5.49673504788295e-05,9.50694989929612e-05,2.35241534625175e-05,1.5683422288193e-05,9.27865900843816e-05
"SMI13-291",96,8.5,1205800000,0.000284743854597425,0.000512940230845915,1.6736975914089e-06,0.0174,0.000210399340033085,5.8859599338934e-05,0.000283341117173208,0.000518225765014702,5.74895203742098e-05,4.46319980196286e-06,0.000844362671102328,0.00149586752271214,8.18649864140486e-05,16.38,0.000101527096104892,7.73548518337996e-05,3.3473133938422e-05,2958.52,8.92637470406576e-06,0.000171572890458771,6.19231550480492e-05,0.000190781216379055,2.34305310236049e-05,3.04599520282167e-05,9.53900809168573e-05,6.87880657614937e-05,0.000153607868604189,0.000264111302096026,100,0.000135501214993727,5.48103763009511e-05,9.61499862655035e-05,9.43249338354324e-05,1.19017410886713e-05,0.000322513152098747,0.000222982528943039,0.000166017418115949,6.11444045541809e-05,8.03376502189757e-06,2.73,8.28088790194581e-05,3.89859098044454e-05,6.63936231404261e-05,0.000102078342337109,2.34306804085538e-05,2.23154811274107e-05,0.000134625045412173
"SMI13-290",59,7.6,196360000,0.000226530839391392,0.000913714637197138,5.26589754690221e-07,0.0174,0.000210990037968539,4.8720435855687e-05,0.000203217675445844,0.00042757239663227,8.52280642513747e-05,7.0211544580534e-06,0.000713676396811858,0.000663432392179253,6.11274884989577e-05,9.18,5.19548881683374e-05,6.69244408073588e-05,1.21115147238005e-05,1897.31,2.15307623545602e-05,0.000159502392236277,6.88021485226731e-05,0.000171190846785185,4.07195095599722e-05,2.69599568685219e-05,7.26642882513673e-05,5.01131637726804e-05,0.000127692873115537,0.00024611037205835,112,0.000137965184304534,3.81759638439227e-05,7.39090539030318e-05,4.32741020779392e-05,6.08499097776161e-06,0.000222861235794625,0.000139363999428044,6.82428364899845e-05,4.94277728613213e-05,1.01103765270949e-05,6.2,0.000115991186859343,2.62660630512279e-05,4.73671728271619e-05,5.2654479303138e-05,4.91441331695874e-05,2.94877359663381e-05,0.000117466509172104
"SMI13-289",68,9.4,82020000,0.000304812969810442,0.000607149571671295,8.29923587963854e-06,0.025,0.000235266270613099,7.44408521944351e-05,0.000218755219855593,0.000437058828636205,0.000104007802097961,4.02395662568722e-06,0.000719121476135731,0.000778273100169313,7.0557372736868e-05,19.33,5.58299396611339e-05,8.985296909092e-05,1.73532908434026e-05,1712.03,2.41431811600634e-05,0.000180268575433296,6.18662449847207e-05,0.000168115606762553,2.41424829385828e-05,3.16866948462113e-05,7.69503832300789e-05,5.05739421818863e-05,0.000152539595843715,0.000281914392528337,103,0.00018366541875614,5.01718779475357e-05,0.00011412442017078,4.3895864882737e-05,6.03589749470501e-06,0.000274861630885637,0.00016292622056735,9.77769212848756e-05,6.0759181691683e-05,1.08646198628826e-05,3.77,0.000132745732676076,3.62127781023958e-05,5.54246469484099e-05,6.83994664141263e-05,3.52081703995921e-05,3.11840741822333e-05,0.000106619396271546
"SMI13-288",82,8,530400000,0.000310215431740479,0.000591904437717616,1.70558964374123e-06,0.0158,0.000249244308238028,6.71069486393172e-05,0.000248381312605517,0.000473139759239682,0.000120361442212058,5.68528297439919e-06,0.000789744493631561,0.00115011115780339,7.59066382411966e-05,8.66,6.93580739055122e-05,5.30599680563792e-05,3.24058512601866e-05,8500,2.12241798775992e-05,0.000221465327340242,7.16284511625975e-05,0.000191473633424089,2.72879139850968e-05,2.93342621593418e-05,9.89114286007453e-05,4.35196036534524e-05,0.000182317640630592,0.000282315611678907,94,0.000227400012793755,5.20186861352467e-05,8.43420268517026e-05,4.58945410710676e-05,5.30627551564855e-06,0.000281534565057306,0.000175768547192146,0.000115973281894055,6.13991829268024e-05,8.18674511493533e-06,5.61,0.000136791870273045,3.4108886832751e-05,5.13712139262879e-05,7.3903936231412e-05,3.410973932505e-05,3.14572818025383e-05,8.71653051079946e-05
"SMI13-287",70,8.3,160980000,0.000363934370514629,0.000607527877491076,3.75719502865302e-06,0.0213,0.000237812939840154,9.55501742549991e-05,0.00023852411125258,0.000418303578142432,0.000100317292768937,6.2620160261595e-06,0.00075490944300638,0.00098010105680002,6.18356927899466e-05,16.32,5.38517274208949e-05,8.26474649846531e-05,2.06646238307684e-05,2150.23,1.83682009247121e-05,0.000155320517102986,6.6998426060616e-05,0.000173333697965461,3.50648419007449e-05,3.64429335619754e-05,6.38679893643079e-05,5.72616332392695e-05,0.000142031801963149,0.000329129713849241,103,0.000158044189728646,6.01125903993971e-05,9.49475684279832e-05,4.0986415124955e-05,2.00381225370361e-05,0.000252718859804713,0.000151622967393239,8.71640667821083e-05,4.15788839611686e-05,1.20230173163982e-05,7.07,0.000120631550699191,6.27594885473926e-05,5.33616578088925e-05,6.44921571830714e-05,4.3830682333823e-05,1.50284727147287e-05,9.85072665151687e-05
"SMI13-286",84,7.8,237600000,0.000253322766068376,0.000757455428408216,3.56234811782485e-06,0.0139,0.000222577009664215,5.20158928707382e-05,0.000218441100717337,0.000424386590263337,8.60413680983108e-05,0,0.000746764804695488,0.000634285891766506,6.96517944993591e-05,29.84,6.01614754878188e-05,5.06610478769876e-05,2.96861069499776e-05,4203.33,2.42764995237454e-05,0.000186851448195302,6.88682295579834e-05,0.000177067355078497,2.05818539007474e-05,3.56221302297843e-05,8.07394172204212e-05,3.60315981702275e-05,0.000149105191147525,0.000279755281964444,113,0.000166436726424468,2.84982999216865e-05,0.000101894092807919,5.09500503729221e-05,7.38857129789494e-06,0.000258177258653181,0.000137285458744918,0.000114936642577668,6.33286656512855e-05,1.13994142623142e-05,2.57,0.000115586587473349,1.89984944178878e-05,5.07894288150901e-05,7.59873552984569e-05,4.43286373379426e-05,2.53312206166534e-05,0.000141413597321227
"SMI6-136",49,5.5,1.608e+09,0.000336682916274977,0.000785954074074668,5.2346291665728e-06,0.0943,0.000148862843584174,6.42098114438383e-05,0.000230279042107151,0.000271077211470017,7.38902155432708e-05,6.97951164463362e-06,0.000588350528661019,0.00097919987808659,5.42214967744759e-05,3.7,8.37508887661098e-05,7.21159572873997e-05,3.40245655752192e-05,1756.97,6.97943857619343e-06,0.000152383639326237,4.18757182643059e-05,0.000167483373226585,6.97841585917125e-05,2.1985462236529e-05,0.00014131770215231,8.30218041303343e-05,9.85606606069833e-05,0.000196433381105754,58,0.000157641613741211,0.000120380555713284,6.85235203345957e-05,5.71019835686748e-05,2.55911719646562e-05,0.000296905236081058,0.000143702806772339,0.000121441159048663,4.32714048801408e-05,8.37541981901779e-06,2.71,0.000107650937778425,4.92646758440962e-05,6.0671132158685e-05,6.45572821118545e-05,3.48968763104196e-05,1.27957963858005e-05,6.51407881870902e-05
"SLI13-34",35,5.8,2.72e+09,0.000309155745780387,0.000475502718350285,4.05477094500561e-06,NA,0.000223374882157401,6.97651942835886e-05,0.000261249581692713,0.000437146328767568,9.34849926594872e-05,5.40638439949781e-06,0.000720461349495993,0.00175198357263406,7.51231150812881e-05,5.03,5.85666391605955e-05,6.24704790002095e-05,2.83830696359288e-05,8500,1.56183417023836e-05,0.000207076229765679,4.41516403755227e-05,0.000183793600806226,7.02735681414879e-05,3.45976713969076e-05,0.000124327759869702,7.38173744849746e-05,0.000157574671841854,0.000242408728154286,73,0.000213784519247362,6.2844594305167e-05,5.99586560419141e-05,5.89768008516511e-05,1.56183027315571e-05,0.000332201752457406,0.000197029784303027,0.00016866119174086,6.91987759655621e-05,1.08126577313961e-05,NA,0.000138062422869512,2.79849923041642e-05,4.58958354117023e-05,8.64883502957881e-05,2.34270000043502e-05,2.40280272640891e-05,8.28915980255474e-05
"SMI13-285",77,6.5,129680000,0.000243703076828972,0.00074704509344059,4.74917561454902e-06,0.012,0.000257375580214214,6.83567185706391e-05,0.000222844858610349,0.000459807059761452,8.17837758850803e-05,5.06580159664871e-06,0.000765313058576078,0.000525952516858386,7.7338597441523e-05,21.25,6.26866444397578e-05,4.47462631216755e-05,1.61471389907852e-05,1510.75,1.43529546541288e-05,0.000191994204426615,9.56095897135523e-05,0.000174748392697044,4.81201808013587e-05,2.88738915217301e-05,8.73757927692953e-05,5.65937069398892e-05,0.000165151028398647,0.000242029693680479,82,0.00016254299342644,5.08138176629203e-05,7.59800749834394e-05,4.35178421831495e-05,1.26643003044435e-05,0.000256246061213217,0.000172994391839598,9.95390244216132e-05,7.24379096730399e-05,7.59868026145583e-06,4.23,0.000112215219730594,3.75422595824126e-05,4.06265114050175e-05,6.01527769268362e-05,4.68549603274138e-05,3.58805823434949e-05,0.000125779228606016
"SLI13-29",28,5.4,4.552e+09,0.000261921556624856,0.000498780389435627,1.40386671787507e-05,NA,0.000238042496959912,5.74136192266206e-05,0.000300959365079567,0.00050654382674642,0.000113940036451154,9.3593085348509e-06,0.000852027410981337,0.00124957801374204,9.42969022863505e-05,12.83,6.31731748970132e-05,6.44724781742045e-05,3.50969279827584e-05,8500,1.45584853497027e-05,0.000233117777845182,7.33108699688678e-05,0.000243297750727178,4.05534467542434e-05,2.57372428409397e-05,0.000128669674919646,8.13215573212123e-05,0.000181599078026728,0.000237901060321954,62,0.000248503678720535,5.08893161643709e-05,5.27500594313945e-05,7.14692259675687e-05,1.66383349342603e-05,0.000282448816795844,0.000244538582718556,0.000170323900219538,7.67435815465234e-05,1.8718476919144e-05,NA,0.000141146300007833,4.3489731331503e-05,4.06814760278706e-05,9.59189712130826e-05,3.11967948900538e-05,4.6274883033437e-05,7.0710570515109e-05
"SLI13-31",39,5.3,4.578e+09,0.000430252012560306,0.000388402458621595,2.00305465836159e-06,NA,0.000229576360355255,8.77252278965734e-05,0.000248989628478302,0.00046649683174782,0.000119675204913294,1.73597691468519e-05,0.00072758413284002,0.00159875361576067,6.49112061075208e-05,9.76,6.14256624511533e-05,7.12149755330849e-05,4.70705904511703e-05,1375.12,2.7597203410501e-05,0.00020341063847118,4.47338532023611e-05,0.000199132212663544,9.61253179423416e-05,2.80411309141471e-05,0.000126177445476827,8.84003700336589e-05,0.000151457173767744,0.000329793947624779,80,0.000238278614892229,9.91394026548242e-05,8.52145553278394e-05,5.75410942635912e-05,1.51338835561177e-05,0.00028549624193408,0.000216265571093999,0.000189865889790086,6.51636565762725e-05,1.28194522381886e-05,NA,0.000139827010322779,5.04256876305842e-05,5.08482017220757e-05,0.000103480331832717,2.9377392340546e-05,1.78044219267814e-05,9.07952123905265e-05
"SLI13-32",34,5.3,1583600000,0.000348071095324309,0.00045437781547486,7.80969678015886e-06,NA,0.000222039756662129,7.40304771491562e-05,0.000268070174955781,0.00048343066716261,0.00011268153412769,5.20645774315653e-06,0.000799773946090765,0.00131902705914766,7.63495700988326e-05,11.08,8.3299086863331e-05,5.78467966270146e-05,5.33645043538922e-05,8500,3.47076764857235e-05,0.000211484516496441,6.07384204944772e-05,0.000197811980930496,3.99131946318132e-05,2.60319345410931e-05,0.000119733469358563,7.71946960511638e-05,0.000166043499704172,0.000296916160245742,69,0.000240168639246807,7.02825077250058e-05,7.57257959993485e-05,7.76196044600663e-05,2.54531034071803e-05,0.000332224781325108,0.000203943057330402,0.000195745456827323,5.9005262840417e-05,1.24953706417408e-05,NA,0.000150193349354621,3.85859341323069e-05,3.97369138751547e-05,9.6310278708378e-05,1.56190027826852e-05,3.29733951389688e-05,7.63584109730875e-05
"SLI13-35",27,5.7,1977400000,0.000309045600624502,0.00054074255900094,3.69298938407425e-06,NA,0.000225718939531383,7.87844842744523e-05,0.000270753030837234,0.000488674171291947,8.75759651388641e-05,1.87107839773049e-05,0.000806149021423508,0.00160554426378923,6.71064317556702e-05,16.47,8.96106639316496e-05,5.31770595522119e-05,2.95433979489168e-05,1756.86,2.69175099005814e-05,0.000197029496004086,6.79443338515995e-05,0.000189899455582676,4.62810522015022e-05,3.30877735141843e-05,0.000112248366043177,5.2767747495075e-05,0.000163583546298529,0.000229866469014572,74,0.000176264064981835,4.985321925699e-05,9.61392373712844e-05,7.03625874118874e-05,1.96956587485975e-05,0.000317420094382737,0.000212655861296041,0.000142393363665505,6.69641529307263e-05,2.95434171369013e-05,NA,0.000111061487782838,3.33657348594585e-05,5.34146439179484e-05,8.37009474841111e-05,2.06801562909753e-05,3.41377570096668e-05,0.000128002432786101
"SMI6-129",77,6.2,2.06e+09,0.000307285578013961,0.000657396456170245,1.80488636880582e-06,0.1009205,0.000179605497006907,4.36290079157686e-05,0.000265856252894103,0.000388992371743946,6.36928205766107e-05,2.40651588256924e-06,0.000767053765928782,0.00179969553192461,5.33078151068178e-05,7.92,9.02384246979082e-05,9.94500431943379e-05,2.88777128412132e-05,929.27,1.92519649100387e-05,0.000139715916455785,4.09097334721498e-05,0.000203150008103892,1.44388346965396e-05,2.59899587529144e-05,6.8581561693648e-05,6.37249824504416e-05,0.000117242662109218,0.000185171019547958,80,0.000122829671596492,6.04561783761337e-05,9.71261200402029e-05,6.56257798488102e-05,3.20866596514868e-06,0.000367463022579617,0.000169957621229067,0.000132826682007758,6.06421162960835e-05,5.77560615022676e-06,3.13,7.75432868165282e-05,3.14243678569692e-05,6.33458557270927e-05,8.661871624005e-05,2.88775651740014e-05,1.60431200710853e-05,8.82298021001038e-05
"SLI13-30",30,5.4,3.18e+09,0.000466708242216729,0.000364023663695923,7.24070013657929e-06,NA,0.000303831314778735,0.000123313902491873,0.0003093928040796,0.000508170012039288,0.000106739638972675,9.65424397936232e-06,0.000816678980534613,0.00112988423549565,6.93008858929645e-05,40.62,6.32871034214055e-05,9.08154843493048e-05,3.29851470934894e-05,8500,3.07498728437938e-05,0.000162900472205685,4.8805620597614e-05,0.000213271642961921,8.68704855843117e-05,1.9629709192559e-05,0.000117445615483769,0.000106513541795028,0.000174678372643067,0.000407961398035672,41,0.00019309884349572,9.89477793489346e-05,5.2072979655815e-05,5.2073518138851e-05,3.50404416258332e-05,0.00033229494336684,0.000210268667034663,0.000177620920371213,4.97715448193325e-05,2.31697373638262e-05,NA,0.000116928629246393,9.99310179010671e-05,2.96834855844086e-05,0.000100826075639882,1.93080150598934e-05,2.03808952365936e-05,6.14956615381246e-05
"SLI6-27",36,4.9,4.77e+09,0.000270363823184239,0.000438591104760855,4.90531611685441e-06,0.131113425,0.000173484065109752,6.98940014858263e-05,0.000298163189699219,0.000508704275962613,9.32435940528276e-05,9.15655000377491e-06,0.000819887481183335,0.00133267908975165,8.02793929852719e-05,19.61,7.65196263203816e-05,6.10418763284937e-05,4.21851097776038e-05,8500,2.3545190644958e-05,0.000183279371327449,6.80151620489067e-05,0.000224763931802707,3.79313694105488e-05,1.96209129881275e-05,0.000151056045480491,8.22648501734857e-05,0.000167640253470935,0.000203427967136571,60,0.000198760719856361,5.68994298280057e-05,6.42122032026293e-05,7.41999929279036e-05,3.31373837243465e-05,0.000306059844339401,0.000232518577872431,0.000189122947851228,6.85407334826138e-05,2.66845351630796e-05,3.57,0.000121509292511757,5.21657013596855e-05,3.69981377659201e-05,0.000104630225443492,1.56967082132198e-05,3.44455288856516e-05,6.97608453208431e-05
"SLI6-28",31,5.7,4.17e+10,0.000385822791676205,0.000397401123495733,3.96550486625458e-06,0.13575975,0.000207196220121109,9.43986182226908e-05,0.000280155083192346,0.000490203623377594,8.06043028345194e-05,9.5171777130254e-06,0.000771086142804078,0.00165593897285521,6.39276868841243e-05,13.95,6.45028290364724e-05,6.76734773794596e-05,3.17231156214959e-05,8500,5.07556111524199e-05,0.000150953305214196,4.17688318719023e-05,0.000196204538152944,0.000233567210293995,2.31578689589007e-05,0.000144321545385351,0.00011220085746011,0.000141076302032861,0.00028410230034237,72,0.000167652085223624,0.000137548497185724,7.7864082187018e-05,7.09440107173887e-05,3.45427909620444e-05,0.000399072113582255,0.000228909921143883,0.000147192830131537,6.13310421679891e-05,1.7765117419799e-05,3.55,9.84183208025957e-05,8.06014209155936e-05,4.11735296144133e-05,0.000102565875912397,1.58615905025972e-05,1.93864002042687e-05,6.83793656919285e-05
"SLI13-33",25,4,6.506e+09,0.000296350615066832,0.000570565828200698,5.7323468654058e-06,NA,0.000219025126943162,6.08536049038211e-05,0.000249106691585288,0.000489970884433477,9.54756684770075e-05,6.11450168741534e-06,0.000750372782219122,0.000819049490005108,7.3127361705394e-05,13.64,7.10791169042935e-05,4.38189612135265e-05,5.04440326030142e-05,1557.5,3.46473325361085e-05,0.000226963029900995,5.35002519246319e-05,0.000201092253335311,0.000146696123323631,2.06353408305215e-05,0.000110046123527052,8.72753335998677e-05,0.000151233062146927,0.000217907591336886,92,0.000242404822180076,9.28425478821104e-05,5.16937997458999e-05,6.08652509397345e-05,8.15263049158688e-06,0.000282630290434183,0.000211716207502155,0.000160490849123729,5.93080284094771e-05,1.65090090313846e-05,NA,0.000143553121003892,5.5026178934714e-05,2.90111850114183e-05,6.34352434281116e-05,3.66857203994986e-05,3.26094161031687e-05,7.539854606331e-05
"SLI6-23",46,4.5,5.67e+10,0.000523398658655694,0.000299072774415876,1.00196152712506e-05,0.05942925,0.000211824428259177,0.000100490099754769,0.00028258326839059,0.00047813647013073,0.000117099598292203,1.12501214011296e-05,0.000727518199511668,0.00117278506866048,6.15419148282115e-05,13.78,6.15212799142117e-05,0.000120460653088017,2.58400225749966e-05,8500,4.68746979951362e-05,0.00016262665452027,4.04291029361126e-05,0.000215714360247032,0.00020521580125199,1.47656046260991e-05,0.000132873037541614,0.000135256282291163,0.000165097204104292,0.000382304707416514,92,0.000216763925797947,0.000140234172678833,6.09775422752978e-05,7.40181308755972e-05,6.14039756028362e-05,0.000362374056098513,0.00022446430483658,0.000164514552126294,5.2874132890679e-05,3.03745655343413e-05,2.5,0.000118220212270037,0.000107932692147594,2.90984984123721e-05,0.000107565714540403,1.75781235527417e-05,1.68750125324468e-05,3.74985160991326e-05
"SLI6-25",31,4.6,1.04e+10,0.00059989339128852,0.000313896342476028,2.08420585323665e-06,0.18955975,0.000214225111058175,0.000103873171058755,0.000316708447170466,0.000471903741511959,0.000104590286058581,1.57471146404742e-05,0.000716851543659081,0.00166548532926059,5.98454431925965e-05,18.05,6.57640576899876e-05,9.38599901050274e-05,2.63995925111615e-05,8500,4.26093825294238e-05,0.000150235948693345,3.70512649847665e-05,0.000202425801797856,8.4278013026573e-05,1.75069946628525e-05,0.000184761362950647,9.56168794226109e-05,0.000156178049512956,0.000430494496104439,63,0.000188342553843368,9.10019075222035e-05,5.20388501366043e-05,7.67947694708671e-05,4.69307914561234e-05,0.000426356846255027,0.000214402092444166,0.000163940035954324,4.77967446330663e-05,2.44543151020071e-05,3.96,0.000108754580457227,0.000104604106987871,3.79946907445028e-05,0.0001254994298725,1.75995119071626e-05,1.32770115732761e-05,6.05154042592204e-05
"SLI6-22",35,4.8,3.27e+10,0.000411028358276777,0.000349364793959195,3.36033925996126e-06,0.27214915,0.000258304287428901,9.04048418737258e-05,0.000267642430982651,0.000389634736168265,9.52574447685706e-05,2.12820664686753e-05,0.000594468512528756,0.000771296770067043,9.70008434015845e-05,NA,7.33600886342334e-05,3.36026373644049e-05,5.54444418974231e-05,NA,0.00026204087866577,0.000116918114274167,4.70436356083681e-05,0.000192461979574121,0.000320111961074954,9.40885417599624e-06,0.000263695053908108,0.000172353648558499,0.000160373850139672,0.000584502572390511,74,0.000164558430747697,0.000172958242718568,5.68174045483261e-05,9.22486250132248e-05,2.31476207550596e-05,0.000337821471920297,0.000217749516052912,0.000133733455865981,7.43720391676028e-05,4.16668889580141e-05,1.55,0.000104251732321536,8.49771278890188e-05,1.48123268655098e-05,8.96030212131915e-05,2.68813290653647e-05,3.73364976420376e-05,5.74956328478482e-05
